              precision    recall  f1-score   support

          11       0.18      0.69      0.29       370
          12       0.52      0.72      0.61      1049
          13       0.46      0.79      0.59       744
          14       0.65      0.25      0.36      1526
          15       0.21      0.50      0.30       419
          16       0.38      0.20      0.26       566
          17       0.23      0.68      0.35       426
          18       0.57      0.25      0.35      1083
          19       0.15      0.65      0.25       268
          20       0.26      0.26      0.26       365
          21       0.78      0.34      0.47       886
          22       0.19      0.71      0.30       283

   micro avg       0.34      0.39      0.37     14895
   macro avg       0.39      0.43      0.34     14895
weighted avg       0.49      0.39      0.37     14895
 samples avg       0.36      0.41      0.36     14895
              precision    recall  f1-score   support

           0       0.12      0.27      0.17       273
           1       0.19      0.34      0.25       334
           2       0.66      0.41      0.51       669
           3       0.08      0.31      0.13       188
           4       0.38      0.29      0.33       520
           5       0.23      0.72      0.35       446
           6       0.54      0.08      0.14      1566
           7       0.53      0.30      0.38       665
           8       0.76      0.36      0.48      1245
           9       0.46      0.31      0.37       655
          10       0.08      0.30      0.12       149
          11       0.18      0.71      0.28       367
          12       0.46      0.70      0.56       940
          13       0.48      0.81      0.61       786
          14       0.62      0.23      0.33      1434
          15       0.22      0.47      0.30       462
          16       0.43      0.19      0.26       601
          17       0.23      0.70      0.35       436
          18       0.64      0.28      0.39      1080
          19       0.30      0.74      0.42       422
          20       0.24      0.25      0.24       387
          21       0.73      0.30      0.42       907
          22       0.21      0.71      0.32       283
          23       0.38      0.32      0.35       444

   micro avg       0.34      0.38      0.36     15259
   macro avg       0.38      0.42      0.34     15259
weighted avg       0.48      0.38      0.36     15259
 samples avg       0.36      0.40      0.35     15259
              precision    recall  f1-score   support

           0       0.13      0.28      0.18       279
           1       0.23      0.28      0.25       319
           2       0.54      0.33      0.41       592
           3       0.05      0.27      0.09       149
           4       0.38      0.31      0.34       536
           5       0.23      0.76      0.35       450
           6       0.63      0.09      0.15      1637
           7       0.51      0.29      0.37       689
           8       0.72      0.35      0.47      1077
           9       0.56      0.40      0.46       684
          10       0.06      0.22      0.09       104
          11       0.14      0.67      0.23       300
          12       0.52      0.71      0.60      1050
          13       0.46      0.80      0.59       744
          14       0.64      0.23      0.34      1466
          15       0.20      0.48      0.29       406
          16       0.41      0.22      0.29       551
          17       0.26      0.69      0.37       455
          18       0.62      0.29      0.39      1087
          19       0.12      0.42      0.19       206
          20       0.27      0.27      0.27       422
          21       0.75      0.30      0.43       897
          22       0.20      0.68      0.30       265
          23       0.37      0.26      0.31       499
          24       0.43      0.82      0.57       542

   micro avg       0.34      0.39      0.36     15406
   macro avg       0.38      0.42      0.33     15406
weighted avg       0.49      0.39      0.37     15406
 samples avg       0.36      0.41      0.35     15406
              precision    recall  f1-score   support

           0       0.09      0.25      0.13       202
           1       0.25      0.25      0.25       378
           2       0.19      0.19      0.19       288
           3       0.07      0.32      0.12       176
           4       0.35      0.33      0.34       382
           5       0.24      0.80      0.36       439
           6       0.63      0.13      0.21      1426
           7       0.53      0.31      0.39       684
           8       0.72      0.38      0.50       963
           9       0.34      0.30      0.32       462
          10       0.20      0.41      0.27       176
          11       0.18      0.76      0.29       339
          12       0.51      0.73      0.60       972
          13       0.48      0.80      0.60       732
          14       0.61      0.22      0.32      1403
          15       0.23      0.53      0.32       437
          16       0.49      0.23      0.32       626
          17       0.25      0.71      0.37       435
          18       0.57      0.23      0.33      1172
          19       0.12      0.46      0.19       229
          20       0.24      0.24      0.24       389
          21       0.73      0.30      0.43       899
          22       0.19      0.68      0.29       263
          23       0.38      0.24      0.29       514
          24       0.45      0.83      0.58       544
          25       0.76      0.26      0.39      1085

